longitude,latitude,source,countryCode,basisOfRecord
-68.33,-10.75,US,,PreservedSpecimen
-72.501738,5.424166,Asociación de Becarios de Casanare (ABC),,HumanObservation
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-86.4556,14.8364,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-103.6667,20.3333,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-103.6667,20.3333,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-103.6667,20.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-98.0,18.8333,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
